3 10000
0.8046209042 0.8717878912 0.6506807910
0.1984044851 0.5383634270 0.7279396815
0.0933154947 0.4774559186 0.4210307385
0.0899420092 0.7550015456 0.3112421895
0.0992262057 0.8984930445 0.0473622453
0.4345070232 0.4255359036 0.1726136535
0.9599834763 0.6827323839 0.0679981155
0.3258488253 0.7624336204 0.5721274359
0.8486695571 0.8670505683 0.2221144625
0.9016602326 0.7886400318 0.5399034127
0.9800975459 0.5861409146 0.3842312660
0.8542342656 0.9746441693 0.8274386860
0.0328476291 0.5974729088 0.7282818667
0.0577626878 0.2336363097 0.3921675142
0.9298759507 0.5953338864 0.8310887756
0.0251567479 0.7387563266 0.0258883443
0.3394992503 0.6809234377 0.8949135214
0.3479173614 0.8232497405 0.9548905134
0.8117586624 0.6331974331 0.8807419858
0.1874001940 0.3595287165 0.1310335523
0.7590087747 0.9535638781 0.2987768744
0.7800664992 0.6773550684 0.7562644034
0.3966636105 0.4679441739 0.1073380206
0.6379857755 0.8950552982 0.5452896851
0.7127587004 0.5997190296 0.3498873323
0.7472271661 0.1642954123 0.5847005017
0.0369776251 0.3591442622 0.1956156544
0.5002877568 0.6724763616 0.6910159564
0.0393297868 0.2817507147 0.0445186796
0.5343543074 0.6570883578 0.4086547319
0.0711942323 0.8611313541 0.3586954575
0.4851700598 0.5657143532 0.5908618618
0.5432918974 0.0949495853 0.0654230767
0.5982031534 0.0277607633 0.0453079636
0.9812499156 0.1075206124 0.4656206573
0.2719535880 0.3701779455 0.7947526168
0.8747451158 0.6356650225 0.8116074577
0.7514388017 0.8836061672 0.1372929862
0.8772849636 0.6858880584 0.4678512874
0.5692186779 0.1717045738 0.9949476684
0.0492010390 0.3436435312 0.4714868527
0.3624849008 0.5118453976 0.8560962554
0.2478882264 0.0751617407 0.9487096278
0.0761030023 0.4770019221 0.2277007970
0.5159026690 0.4071353236 0.1522380405
0.2579217353 0.4101489578 0.1043914249
0.3884198292 0.1054074911 0.4995528679
0.9622129232 0.9704824424 0.4386582321
0.0041250588 0.1828187677 0.3337131952
0.4939951661 0.0471113306 0.2532145688
0.6408753410 0.7772547844 0.3773705007
0.7635337038 0.7013246329 0.1665067137
0.7753724869 0.4051491868 0.1944874639
0.4720709291 0.7817920752 0.9610449724
0.7298975058 0.2504686663 0.0094101251
0.5766812838 0.0255361637 0.0682149818
0.6507400919 0.0225694676 0.4909315295
0.0050572806 0.8457144784 0.4742143606
0.7233064803 0.9561368067 0.9246535615
0.2574617006 0.7444814312 0.0086392147
0.5009939800 0.7598264153 0.9415711104
0.5163318102 0.9562877171 0.1277882215
0.6469908804 0.1824013435 0.9690286907
0.7963874646 0.8442407478 0.7916708964
0.2633303193 0.8393957062 0.9538324478
0.0461811287 0.1973794561 0.0769926865
0.0787617519 0.1318819624 0.4549569223
0.9172910929 0.3620435712 0.8917135389
0.7101218405 0.2029459223 0.9140339492
0.3957732300 0.4875240301 0.9562776219
0.1039119923 0.3157255529 0.6854471456
0.9147615259 0.5607929605 0.7496038822
0.4652499472 0.2311276806 0.7392564665
0.2467471051 0.3387625615 0.3895225934
0.7265796690 0.4930670422 0.7808195270
0.1093004406 0.7853472379 0.2839108998
0.3441544863 0.0638316359 0.9989765109
0.9176305850 0.2751387963 0.3686130116
0.9377591705 0.6678499594 0.8604463426
0.5990865312 0.2941904433 0.7746924971
0.1007764347 0.2157347316 0.4276271081
0.3869855019 0.1360852602 0.3095784863
0.4719127246 0.0892914340 0.1602076088
0.2205396589 0.9051926262 0.4843773314
0.4326406404 0.2180675057 0.5637540178
0.4370910083 0.2499800622 0.9055969234
0.6562819307 0.3923344536 0.6510958139
0.3842466325 0.0594685961 0.3474368636
0.2937584337 0.9642348177 0.5145050779
0.1224015740 0.5856452352 0.1054604993
0.6551355467 0.4728677120 0.6203200773
0.6655956342 0.6234399139 0.5400446912
0.1868185617 0.6068171356 0.9969296550
0.1513690975 0.5341321994 0.3934562993
0.5743974727 0.8359511289 0.1694927316
0.3478516592 0.6855518971 0.2063036425
0.2625913810 0.1674790238 0.5527305554
0.0033197978 0.9711490848 0.1352815916
0.4038426914 0.4920548175 0.6416462803
0.9003617870 0.6410645038 0.7898516493
0.5748538526 0.4685837069 0.6748397463
0.0794152705 0.1122472994 0.8577131429
0.3393313220 0.1619815169 0.3937690260
0.5084326309 0.4939225430 0.1500518311
0.9121571003 0.5509052753 0.3513490838
0.4972900046 0.1932140870 0.7614632162
0.5293172117 0.1770695901 0.1109622537
0.6393898143 0.3381397787 0.7553673475
0.1295192269 0.2076768285 0.7720166813
0.7697849599 0.4765314054 0.2447963963
0.2956092457 0.7265118728 0.4448992532
0.6590611800 0.0879792631 0.4800423440
0.1021747847 0.5171276865 0.2014488906
0.6637779466 0.7971964296 0.1599191185
0.2916095836 0.2631452484 0.9128625505
0.6348343841 0.8234095188 0.8453177376
0.7175965872 0.7892211309 0.6035741491
0.5989667437 0.7318510587 0.6835399448
0.6172349444 0.8482828714 0.0597217481
0.7348562609 0.7015023450 0.7598631765
0.4959857825 0.7771028880 0.5021741284
0.1339877256 0.6496172948 0.0202818750
0.0418704253 0.7581839903 0.1665874534
0.8426606762 0.7032357849 0.7681392968
0.8169848324 0.2946349409 0.4532396558
0.7277810014 0.7854435994 0.6850694776
0.0061255097 0.9617567328 0.6632287913
0.6707779688 0.5322068675 0.4281348895
0.0280382155 0.4491792999 0.2539991619
0.3461749462 0.5066577778 0.4440723856
0.2570464863 0.3436359985 0.4125964154
0.7939461353 0.1518806128 0.9196521031
0.9072129767 0.2256191874 0.7949536446
0.0684944101 0.4620746383 0.9131611492
0.0550451929 0.7724776361 0.6291042832
0.3690594898 0.2320924959 0.6534935806
0.9217285522 0.2794020516 0.8619136932
0.5260440690 0.7711292459 0.0112563234
0.3298683049 0.8162569925 0.7607147208
0.8507482946 0.5675461363 0.4789820063
0.4546206815 0.0012063051 0.5819759697
0.5601530746 0.4064362627 0.9771404357
0.6118710783 0.7296083194 0.4847027617
0.3659325277 0.8227607434 0.3367590413
0.1675204705 0.7003995992 0.5363014152
0.3994556180 0.8016901586 0.6347107091
0.8475839633 0.6074461198 0.8891384051
0.0493358615 0.3868230544 0.1632742007
0.0967918552 0.0765089646 0.5300058099
0.2967812740 0.4082832341 0.0742376410
0.1340897126 0.7171877694 0.6664183595
0.7837832649 0.1534815844 0.3605684876
0.8545622225 0.9305108772 0.6316205951
0.7002146445 0.6868664670 0.5600923450
0.1571021595 0.2699558790 0.8124547413
0.1250635486 0.6905520318 0.4416257830
0.8365013224 0.2849823586 0.2045233538
0.9551078115 0.6324295586 0.6757881842
0.6736281455 0.6376713295 0.6974323018
0.6365420400 0.8730285397 0.0967358304
0.2156904868 0.8827184891 0.9227078603
0.5844477687 0.6862736180 0.0820092574
0.5316682594 0.5448666127 0.4179234558
0.0068253396 0.3009967387 0.3901663253
0.4276460960 0.2974691922 0.0805849988
0.4840851844 0.8283247966 0.6299951789
0.9375115407 0.5403900672 0.2709072435
0.0669114627 0.8768206541 0.4931563437
0.9753290136 0.9518548888 0.9687179177
0.3232437187 0.2623344177 0.9074375858
0.3384958267 0.5869012513 0.8164235695
0.6653253120 0.1750067624 0.3525963736
0.3504414078 0.2939996799 0.7458446763
0.0720277811 0.3817641994 0.2672319273
0.7448663277 0.3825804047 0.3652658928
0.6760809220 0.6622296399 0.1146000097
0.7297521533 0.6120439598 0.6659877789
0.4836271085 0.8728395134 0.6334907440
0.3905674649 0.6335522095 0.9148411921
0.4952938902 0.6384470755 0.1884585536
0.0715649104 0.7276468891 0.9056572974
0.5092162661 0.8252453687 0.1203930368
0.7549961900 0.0035662508 0.3443416914
0.6677911844 0.5667282533 0.5300799862
0.0253906091 0.0144850091 0.2861202654
0.2109307026 0.7896160269 0.5678714585
0.1961957514 0.2785139002 0.4018883723
0.1771848302 0.5750757423 0.0387176721
0.1709104004 0.1537059123 0.9126798502
0.4326901492 0.5325827366 0.5648431746
0.9839226521 0.7605402503 0.4366765228
0.0797250462 0.1035168591 0.0525982148
0.1235810556 0.8975422517 0.0008496438
0.7924440206 0.9982321326 0.5213987443
0.1679259889 0.7420193955 0.7152556491
0.0026873181 0.3543771140 0.0465648010
0.0682709632 0.2421513372 0.8008237168
0.0111990975 0.2610187309 0.7400460000
0.2132678089 0.0613432868 0.7061854929
0.1233883081 0.8961314186 0.9070044347
0.8101692798 0.5674685266 0.5188639665
0.0904861151 0.4830439606 0.3709707685
0.2395990237 0.2366410608 0.9397115128
0.1330367317 0.9219305047 0.6649828309
0.8861138695 0.2554792575 0.4141454138
0.6624429713 0.7016320026 0.8285403728
0.0450376950 0.0099584694 0.7482859115
0.6364467452 0.4069673307 0.7338421784
0.1560428702 0.7717172811 0.2679074770
0.0972319840 0.0143422123 0.0099626551
0.6000519050 0.3882719910 0.8522991988
0.4668779273 0.3876744083 0.9280466323
0.2744881664 0.2372522992 0.6810412567
0.8213733691 0.2911935730 0.3858289123
0.0811100270 0.9191779372 0.8629368142
0.6478902238 0.9343374350 0.7753293972
0.1225543633 0.9708433882 0.4913212047
0.4271413353 0.9459475740 0.1871987836
0.0779464469 0.0782631923 0.0795535623
0.4580299285 0.8621529553 0.2078009576
0.2806500686 0.0612907797 0.0520020353
0.5126856599 0.5748542413 0.0695546973
0.2054816970 0.0786475320 0.3107525316
0.6137245845 0.8734751861 0.3610536841
0.0165288307 0.2089663841 0.3988387247
0.6985452172 0.0147353799 0.6361631393
0.4908478865 0.8584508274 0.1310557842
0.4672343844 0.2572137050 0.4874958651
0.3992047851 0.4895756007 0.8148667585
0.6820549723 0.1314841510 0.6185964019
0.4621350530 0.8699008828 0.7594388305
0.0519937246 0.8032591226 0.4454839255
0.9960560721 0.5204020999 0.3042912926
0.6744830417 0.1832443541 0.7809336954
0.4606066931 0.8395869172 0.9017376355
0.0868871869 0.1098151531 0.2359575168
0.8237870482 0.5576043875 0.2197906688
0.2529754655 0.0326113790 0.6968312128
0.4946590525 0.3940022091 0.4636730468
0.3580009398 0.2971577939 0.8379257206
0.6646310517 0.0046866875 0.8896257140
0.4728383339 0.3270803620 0.8309700357
0.7589100874 0.3111589743 0.6004176083
0.2440866206 0.1523698470 0.5095277317
0.4770414447 0.0993518417 0.8727539413
0.1365534751 0.9340204844 0.8733383164
0.9563168287 0.9133820783 0.5062444293
0.1498239481 0.0362846485 0.3590436023
0.3634842802 0.7486627684 0.8117531236
0.7631070966 0.4763528627 0.9152438116
0.6554634109 0.2509074842 0.9383547587
0.2190205848 0.4641990945 0.6279470177
0.3836247146 0.2458087331 0.5359798280
0.6438377558 0.6839411336 0.1184460279
0.4505592780 0.8747360495 0.9376208351
0.0064329359 0.2984395578 0.0276425161
0.2757589807 0.5428460382 0.6001168915
0.0783526935 0.3317805628 0.8465089878
0.5296099163 0.2470643645 0.7815011364
0.0444094365 0.8701584291 0.9940364717
0.8355228462 0.0614529180 0.6010478889
0.6359295563 0.3133160312 0.1241262242
0.8474127678 0.4671679496 0.4162801586
0.6071499156 0.9074170366 0.2466461883
0.7430305620 0.8988855719 0.6986505488
0.8464633653 0.5328897585 0.4508662457
0.0137038327 0.4597577923 0.1213486069
0.9242916134 0.2747705123 0.5014957670
0.4532572008 0.1977445348 0.1335457409
0.2141962373 0.8647123252 0.4290468439
0.4651248025 0.6003665773 0.1475517907
0.6123827100 0.8630440106 0.7550884784
0.0102382266 0.4826475618 0.0008401037
0.3179037436 0.8680599401 0.7864025009
0.3919397001 0.6248718521 0.9031029927
0.6187649860 0.9597806257 0.1647245186
0.6023835584 0.4973666095 0.3107243018
0.4835875581 0.9669086766 0.3659850822
0.3411716270 0.1433918380 0.0362676019
0.0403428904 0.9921641089 0.7367347138
0.5615043834 0.7345928476 0.1766712497
0.9084608093 0.3148787844 0.7714256983
0.5748765515 0.9086665351 0.2170194976
0.9365287272 0.9316349208 0.8147861910
0.0608957563 0.7735944879 0.8810414657
0.2262446148 0.2762222512 0.1069160519
0.1441069541 0.5635423032 0.1822985040
0.8901029704 0.6138877715 0.3318780407
0.1604023496 0.7625030212 0.2033709132
0.6627066559 0.8625579764 0.7030999744
0.2283456037 0.6514762827 0.0825001303
0.4572865583 0.4086031852 0.5695602922
0.4436746755 0.7564052307 0.3904615199
0.8648266192 0.5756601009 0.6320750465
0.0314400076 0.3937386109 0.6306332584
0.6073476454 0.0705381205 0.3901197483
0.0436377749 0.5818398253 0.0916656664
0.4286843174 0.0093562983 0.0658590678
0.0126234041 0.3863411034 0.3451522790
0.7183040751 0.9694343276 0.8312552687
0.0598191746 0.8672702870 0.1485564408
0.0205873229 0.1754308609 0.6154569851
0.6080572876 0.8649128532 0.0210566455
0.2566807298 0.4806506530 0.6201456349
0.4925061643 0.6845363280 0.4897657427
0.4641560821 0.1664972949 0.5732791973
0.5161099350 0.2257712928 0.3160773078
0.5742096353 0.5964773108 0.7250255828
0.3376399545 0.3290705630 0.4148057443
0.1861658508 0.2088289523 0.4427729991
0.7427622913 0.3042882467 0.4348419005
0.8208282365 0.4067571998 0.1279000763
0.0188129066 0.5535968863 0.5494779478
0.9009374523 0.1751347642 0.0255007782
0.6778664154 0.2738823026 0.0790909665
0.8386248321 0.9022653793 0.0613076212
0.9914118556 0.3247659359 0.4804479120
0.2914149932 0.9751660961 0.7822641951
0.1754949195 0.3557312220 0.4768674635
0.7521652978 0.3885579328 0.8348312483
0.3312071429 0.9013791702 0.6313339014
0.6127149567 0.6507868919 0.5243057809
0.5825357552 0.0122936362 0.2158063678
0.9451595245 0.1947138072 0.2798076402
0.6264175453 0.0219135092 0.2841436188
0.8986401235 0.4815027110 0.4185766284
0.5868854523 0.5390731901 0.8020456276
0.2513444607 0.9335703738 0.2181396123
0.8685215270 0.7116046662 0.2773779834
0.9345399890 0.4572994242 0.7787992554
0.1121506579 0.2141349547 0.3027990167
0.4699371450 0.3197211086 0.6781241656
0.0588773117 0.9000942631 0.3764675637
0.3501379170 0.4751476430 0.6938354646
0.0204046941 0.7053565043 0.4727940178
0.1123349184 0.1080425690 0.6430606578
0.1926420480 0.4927752913 0.8656854461
0.7709708473 0.8391998733 0.7700740398
0.8809411383 0.0451168847 0.9860398358
0.9298075446 0.7981362678 0.2071987268
0.0459326821 0.0633705458 0.0314900345
0.5569640748 0.0568651389 0.6991910036
0.6471672604 0.5936886614 0.8125619636
0.2839623924 0.1352553253 0.5042353454
0.6807057365 0.1175727075 0.4946604534
0.1751638251 0.9631250174 0.5966646048
0.9892868265 0.9272174680 0.5153094719
0.2232547284 0.3462746261 0.8952840573
0.7321587831 0.3635341173 0.2996453734
0.8072075430 0.6705540699 0.3772964836
0.6734944336 0.7730408466 0.1320551945
0.9139599859 0.0980356286 0.2932857965
0.3763539774 0.4134333203 0.6789886313
0.3309882679 0.8626994985 0.6550226876
0.5602943930 0.5686021084 0.0692005202
0.2203721259 0.7892169630 0.3794561021
0.0298445424 0.7419908274 0.0814927729
0.6585449629 0.3351444419 0.1944656704
0.6193601653 0.7966553123 0.1388753975
0.4201663959 0.9612828842 0.5096970543
0.8421471112 0.1964212221 0.6346532801
0.7752963082 0.9516972980 0.1139566701
0.3352079524 0.0372403846 0.6493801364
0.4565838505 0.6129791211 0.9892341444
0.5735485078 0.4743576444 0.7703779693
0.5959093717 0.0116341055 0.5144946311
0.2053698401 0.4346603484 0.2067063701
0.1789777418 0.2862250583 0.4612857654
0.4651450523 0.4543887066 0.5350248628
0.2772417067 0.5967229746 0.2947192235
0.8699072284 0.0542195842 0.8893344998
0.5680074510 0.6218012322 0.8371779910
0.2878836559 0.6433351076 0.8433697637
0.9125828064 0.6345573471 0.6187754537
0.8579399144 0.4849485909 0.4096380717
0.4766614512 0.5222241349 0.5548063221
0.6615298666 0.6859955507 0.7966054277
0.3629010839 0.4153962775 0.5954557521
0.4080320356 0.3060517142 0.6925264561
0.5862842455 0.5558189284 0.6516752229
0.2569817238 0.2471689106 0.5056955145
0.0288721289 0.4898003762 0.3094664174
0.6719066186 0.2117759774 0.2150615653
0.9105828062 0.8058738674 0.4585511102
0.2948366254 0.5426248621 0.3423228762
0.3986400847 0.4066018086 0.3588646849
0.8053329349 0.4964930768 0.0326689387
0.1806043811 0.5582346261 0.7476650282
0.0681134788 0.6781904656 0.1665840129
0.6074740809 0.5680923664 0.9784063729
0.5040050603 0.3803778127 0.0593674813
0.3136233230 0.8602195092 0.1289925309
0.7747580824 0.8885905690 0.8085846442
0.0391032344 0.9599120342 0.5560883270
0.5626927418 0.4114819586 0.9685219206
0.1331567126 0.8108835797 0.3612930770
0.0695653804 0.5545787887 0.1920171367
0.8258818733 0.0384975988 0.7414283707
0.6509761751 0.7356947511 0.8474079114
0.8520459133 0.0268383417 0.1348774459
0.0699776446 0.0630060464 0.8049980889
0.5340503007 0.1961296940 0.5230741820
0.7962731691 0.5609393217 0.0961057588
0.2285766935 0.0979549459 0.4108553700
0.8081677857 0.0044268140 0.5497932969
0.3767216814 0.4581972908 0.9588095927
0.4242498010 0.5016243172 0.1091739331
0.5690184126 0.1817906661 0.2824744314
0.8292516612 0.3028306986 0.2212128862
0.6807207605 0.0165752694 0.7024199265
0.9234759786 0.1151318113 0.6255075360
0.1116468240 0.4998804104 0.8705066563
0.0653825743 0.2361385615 0.8646343777
0.2821192315 0.6554476678 0.5592435776
0.5046610026 0.1499728104 0.2082643954
0.5816133074 0.4177792756 0.9071834598
0.7209310901 0.7289703384 0.2477111092
0.8040139732 0.0039907061 0.2228999842
0.5432203791 0.8626693777 0.0417068719
0.9064184830 0.3047507124 0.5111204023
0.7929472908 0.1958092985 0.4560664256
0.4792279353 0.2013109477 0.9753170755
0.8451014365 0.8870349808 0.3449938338
0.7999671705 0.7578188204 0.0547341903
0.1836171819 0.6700092999 0.3216965214
0.7613412314 0.8340652413 0.3831760498
0.2352005679 0.6831063406 0.5872795566
0.8634134123 0.4944437056 0.4098079777
0.7786381255 0.0554646992 0.2037015782
0.8364387531 0.0765058257 0.9543670724
0.3829883167 0.5847392825 0.7370530368
0.1785059998 0.1738183536 0.0425801476
0.9877301563 0.9912014566 0.4703408878
0.7966486562 0.7007891153 0.1439441345
0.9674079753 0.5308470980 0.4360984024
0.5614197626 0.3603768658 0.7023155084
0.7158542009 0.6945958503 0.7920630618
0.2788103926 0.1277775223 0.9542907194
0.2494758648 0.9727850403 0.7392851100
0.0263499099 0.9472883469 0.1637423243
0.6573289413 0.4693116426 0.6341735346
0.5078256895 0.0615663465 0.8527208844
0.9096174541 0.5973533880 0.3523740611
0.4856015582 0.0895305072 0.0814729602
0.1724712841 0.4188500565 0.5549472433
0.5693795439 0.5783868895 0.9096990761
0.3707172592 0.2333108953 0.1594766113
0.7002242527 0.2352047031 0.8622044148
0.9851552093 0.5987681224 0.7374477641
0.0347893655 0.3118059432 0.6986127256
0.0004333411 0.1064431874 0.9109217189
0.8637835701 0.9376304993 0.6578401604
0.0566327377 0.5352181973 0.8469075284
0.5937639739 0.8367416025 0.7123264944
0.7112050560 0.1762003112 0.2438406580
0.6524596377 0.3265621474 0.7797610337
0.0445597529 0.0362354106 0.5717187791
0.3289970054 0.3923778079 0.4143080359
0.8378119128 0.7569127721 0.5410392019
0.9358432271 0.0743478896 0.5450726697
0.0868768801 0.7751869392 0.2567547888
0.0352942003 0.8343134954 0.3432793374
0.2754376588 0.1233333006 0.7962908511
0.3934180283 0.0027579566 0.4223922860
0.2672092735 0.2555861703 0.7878827292
0.0417631080 0.0758966751 0.2893772499
0.6729024888 0.2943949349 0.4799611357
0.4842788863 0.7433799807 0.8376964945
0.1658813939 0.5936468615 0.5538669398
0.4974137533 0.8770629796 0.6999203266
0.6475982310 0.6853128543 0.4876006704
0.6618248234 0.2957635997 0.5098951694
0.6246958885 0.7731935870 0.2810633824
0.7853805301 0.1482870612 0.2003566704
0.0804932050 0.8948619855 0.8077143138
0.6786851097 0.3323210027 0.7834178749
0.0751731429 0.1147271068 0.4756178859
0.1445567536 0.5927099468 0.5218864045
0.7236242656 0.1523565963 0.9742744677
0.7393117028 0.0847628486 0.1546688509
0.8640530634 0.0095905272 0.7196482532
0.9218414414 0.7875766338 0.8278317376
0.6513362211 0.8183009176 0.5512206705
0.1501928072 0.6137183354 0.1109488516
0.6811732422 0.7507545556 0.2685285031
0.1380316319 0.5917466309 0.4040200603
0.5173447421 0.0570265382 0.9507385579
0.9530750009 0.4412043340 0.4053932140
0.6231268952 0.1387241320 0.9629767800
0.2791451665 0.2031782788 0.9390057990
0.5826540912 0.4059218996 0.9795487144
0.3319655553 0.4433420431 0.7077515845
0.1906660074 0.0881140974 0.1564169734
0.0729510181 0.8246571691 0.8538168974
0.6240574301 0.6409119795 0.1781226629
0.9871101892 0.9333984272 0.0765211452
0.9740246537 0.9908111687 0.6881263187
0.4114594036 0.4716879982 0.1577328962
0.7060761594 0.1296352969 0.5200857151
0.5865793922 0.6425277591 0.8978519513
0.4984131684 0.5645533263 0.7239646558
0.4529358848 0.2494528627 0.1077084447
0.8944398648 0.4800377609 0.8251987979
0.3488046691 0.7465486623 0.3740053331
0.1303535639 0.4290699259 0.6032775130
0.8766287290 0.0017255237 0.4332552409
0.1557721644 0.7684044782 0.8006986639
0.0288484460 0.2845471180 0.7133237633
0.6324106178 0.2630388450 0.8844126708
0.5436464173 0.4811808060 0.7768460941
0.1756956797 0.8502375646 0.2883537583
0.8260694189 0.5011719458 0.9564998641
0.8307216860 0.4528762741 0.2391298383
0.4695221432 0.9757003027 0.8401780968
0.5695869402 0.8816077693 0.7916698646
0.4863492354 0.9231852319 0.2859468572
0.9570056916 0.4603368559 0.6095545199
0.4513368863 0.6556182631 0.7614932721
0.3372446678 0.4844067404 0.1154091190
0.7420556569 0.1000428229 0.7456633442
0.8816800545 0.3461679994 0.6447423943
0.3900096610 0.1083362214 0.0671240586
0.8348328212 0.8785509744 0.1081456513
0.8466383977 0.5247999970 0.8871117934
0.0494741392 0.4806979423 0.9040899484
0.3745865046 0.9289539095 0.0754001120
0.4584605778 0.5777431834 0.0510598217
0.5325206894 0.3466777244 0.8555057199
0.0448545656 0.3811920832 0.5440386612
0.7736667664 0.2841392263 0.6650783500
0.4687241412 0.9610995225 0.6826170207
0.8008838550 0.0820035833 0.0804094587
0.2389544671 0.2860269443 0.8353551643
0.8187105280 0.5635241121 0.6186338218
0.2271573735 0.3914357894 0.5181321749
0.1373510395 0.7439624319 0.7240841195
0.2559308517 0.6255534807 0.9633038763
0.0078310905 0.0362623221 0.8481142391
0.6662362762 0.3627712409 0.2457203585
0.3332648076 0.2912718807 0.7292874512
0.5530446157 0.7493711710 0.0015008782
0.4430308824 0.8710757313 0.8643918282
0.9606871945 0.3301291406 0.7671728874
0.8789782545 0.1025357752 0.4916372525
0.1349954157 0.8540831013 0.4173322826
0.4270582539 0.7271434660 0.9764614286
0.0515382562 0.8814766882 0.6618568169
0.6073437578 0.4657340712 0.0972195742
0.3734581452 0.7460876482 0.5961552866
0.0585869764 0.5408194259 0.8441789303
0.9203429684 0.1654823373 0.9004713795
0.8165662143 0.9315318040 0.1168812476
0.8753007599 0.0396573637 0.7091888017
0.8479409651 0.1836631574 0.6600226346
0.5870933599 0.2836614667 0.2549312016
0.3512709491 0.4494682487 0.7683631689
0.6510496941 0.2766520035 0.3538341580
0.1350745625 0.8834472645 0.0388556419
0.4229914274 0.0096474102 0.4149427198
0.2160743793 0.3837956314 0.1612346044
0.1456460049 0.2248324795 0.2195585381
0.4841978404 0.1028529649 0.5057818386
0.2728549068 0.7278931348 0.0727017963
0.1316133702 0.6781848461 0.4103458907
0.0388136313 0.8030744361 0.7100295224
0.4174211220 0.6025143751 0.5875708674
0.2050612367 0.5462605662 0.7163803259
0.4897570549 0.8108817703 0.0975396500
0.2107476373 0.0402782818 0.5796766042
0.3001142556 0.8447168370 0.7114413402
0.3339635233 0.7091171177 0.8762587933
0.4818300246 0.8488923125 0.9507531564
